 ,x,1 (25ul250mWBaseline_3.tif),2 (25ul500mWBaseline_3.tif),3 (25ul750mWBaseline_3.tif),4 (25ul1000mWBaseline_3.tif),5 (50ul250mWBaseline_3.tif),6 (50ul500mWBaseline_3.tif),7 (50ul750mWBaseline_3.tif),8 (50ul1000mWBaseline_3.tif),9 (75ul250mWBaseline_3.tif),10 (75ul500mWBaseline_3.tif),11 (75ul750mWBaseline_3.tif),12 (75ul1000mWBaseline_3.tif)
350,349,31144.704,30596.170,29213.142,27955.753,29646.535,31193.990,30989.481,31010.394,29615.818,30116.244,32469.626,32422.609
351,350,30954.739,30362.777,29015.576,27614.132,29494.806,31105.810,30774.935,30805.635,29444.240,30002.234,32359.654,32305.381
352,351,30794.363,30189.037,28829.391,27307.427,29380.406,31030.350,30614.423,30659.866,29309.695,29948.060,32269.926,32237.487
353,352,30633.012,30039.457,28601.296,27002.603,29259.326,30932.827,30390.638,30525.585,29169.318,29860.843,32162.535,32134.106
354,353,30494.411,29870.569,28364.626,26723.950,29104.199,30801.187,30147.073,30340.399,29020.691,29740.483,32072.481,32009.268
355,354,30451.410,29720.131,28253.008,26499.647,29031.632,30757.131,29970.576,30218.148,28944.831,29618.051,32021.291,31958.935
356,355,30443.829,29629.479,28218.893,26299.564,28980.070,30744.684,29844.378,30122.667,28927.146,29507.208,32055.209,31968.198
357,356,30369.339,29596.587,28113.366,26109.711,28878.404,30668.425,29631.647,29984.605,28915.224,29467.629,32102.443,31890.407
358,357,30224.851,29526.688,27953.146,25854.165,28790.803,30598.166,29466.252,29826.052,28861.158,29409.533,32094.543,31797.579
359,358,30147.514,29392.416,27813.551,25621.610,28647.531,30595.636,29373.105,29681.277,28792.443,29258.475,32019.003,31801.311
360,359,30113.335,29342.899,27743.006,25521.285,28596.013,30612.460,29301.611,29600.094,28779.211,29203.790,32028.301,31847.390
361,360,30053.201,29286.617,27703.451,25455.027,28502.674,30625.832,29266.714,29542.033,28792.714,29296.782,32057.722,31874.275
362,361,29979.491,29169.005,27595.947,25377.726,28349.286,30617.854,29211.657,29480.387,28764.532,29378.503,32021.849,31844.322
363,362,29885.400,29036.357,27477.502,25267.561,28254.178,30614.842,29136.146,29407.898,28677.050,29397.052,31999.416,31807.578
364,363,29800.096,28887.782,27330.272,25154.088,28198.062,30606.439,29076.095,29316.804,28632.644,29412.186,31996.334,31746.005
365,364,29718.481,28706.156,27181.521,24964.926,28162.821,30619.687,29055.565,29169.810,28601.042,29376.180,31951.030,31644.062
366,365,29672.774,28556.446,27044.878,24804.322,28104.910,30683.086,29036.861,29070.474,28563.969,29348.032,31926.544,31550.800
367,366,29654.408,28488.474,26928.976,24668.900,28086.093,30697.135,29054.619,29006.953,28598.397,29335.495,31936.146,31450.223
368,367,29671.426,28491.280,26824.128,24571.238,28067.030,30746.403,29082.746,28943.244,28644.114,29397.776,31999.888,31409.810
369,368,29626.706,28403.405,26638.334,24369.913,28016.716,30694.135,29082.083,28800.173,28650.356,29450.071,31964.589,31301.072
370,369,29560.566,28265.400,26420.639,24128.074,27905.256,30592.612,28981.229,28602.795,28603.542,29481.674,31894.022,31117.832
371,370,29481.321,28102.418,26213.920,23809.394,27792.825,30477.019,28889.504,28413.805,28599.813,29587.354,31865.010,30995.608
372,371,29353.164,27914.010,26053.785,23430.208,27740.002,30318.752,28766.636,28262.245,28574.637,29625.926,31771.893,30851.402
373,372,29213.980,27729.636,25852.433,23023.946,27690.514,30151.781,28658.755,28113.835,28553.698,29636.960,31661.526,30708.745
374,373,29056.481,27597.409,25640.889,22703.301,27632.947,29974.486,28513.979,27982.611,28514.579,29689.217,31593.025,30618.085
375,374,28828.519,27490.754,25343.552,22346.952,27514.113,29767.922,28342.261,27802.524,28464.829,29763.557,31463.726,30469.640
376,375,28592.628,27353.025,25091.162,22042.995,27358.627,29559.767,28175.366,27611.159,28433.433,29829.077,31352.243,30316.570
377,376,28391.294,27171.096,24817.232,21736.441,27186.272,29336.694,27987.711,27337.633,28373.840,29805.739,31224.406,30160.321
378,377,28218.314,26996.620,24577.151,21469.413,27015.990,29153.206,27723.496,27107.279,28334.905,29716.821,31130.890,30006.712
379,378,27996.240,26857.104,24227.803,21201.027,26794.359,28932.202,27430.965,26864.029,28284.110,29648.981,31008.315,29800.494
380,379,27845.802,26687.326,23984.096,21028.140,26610.830,28772.252,27191.634,26750.618,28275.537,29581.847,30919.337,29659.118
381,380,27696.535,26478.404,23797.702,20887.724,26464.375,28655.611,26906.025,26608.768,28327.122,29540.933,30867.310,29516.338
382,381,27514.469,26166.504,23560.134,20600.089,26242.698,28588.419,26582.859,26416.422,28381.569,29444.775,30718.986,29306.610
383,382,27406.536,25901.753,23345.506,20352.847,26050.756,28547.871,26337.627,26277.399,28498.858,29388.253,30609.348,29170.854
384,383,27288.608,25702.453,23168.164,20204.037,25991.209,28481.623,26172.596,26110.396,28661.353,29427.004,30543.916,29020.336
385,384,27151.916,25472.537,22831.618,20009.804,25827.657,28292.278,25950.770,25877.133,28760.149,29435.722,30470.307,28792.018
386,385,26940.247,25126.877,22501.591,19740.361,25691.957,28095.521,25767.345,25590.017,28797.743,29340.366,30295.420,28494.367
387,386,26705.679,24800.911,22301.914,19539.400,25607.486,27969.886,25643.028,25293.760,28791.225,29274.565,30081.634,28316.854
388,387,26592.897,24568.049,22223.609,19477.229,25585.160,27930.074,25621.412,25136.820,28807.921,29241.444,29910.175,28230.238
389,388,26453.993,24377.612,22148.916,19471.430,25521.451,27819.354,25549.905,24914.226,28772.648,29230.712,29740.468,28070.749
390,389,26290.975,24196.004,22024.605,19436.629,25415.143,27674.710,25484.358,24700.396,28680.021,29223.804,29575.695,27942.936
391,390,26248.614,24132.119,21948.587,19441.825,25346.442,27578.286,25460.309,24597.210,28652.545,29317.326,29492.326,27831.493
392,391,26141.629,24057.294,21846.467,19372.450,25291.570,27456.455,25402.528,24525.288,28641.874,29380.621,29378.631,27703.286
393,392,26034.744,23997.440,21756.669,19292.083,25323.578,27319.106,25359.951,24465.526,28644.611,29421.011,29302.061,27498.842
394,393,25930.578,23934.249,21700.639,19175.286,25361.236,27178.452,25335.565,24383.107,28609.935,29445.772,29163.564,27313.331
395,394,25832.254,23916.154,21688.947,19118.974,25390.269,27108.177,25337.071,24311.714,28573.219,29448.100,29013.058,27145.714
396,395,25843.743,23942.778,21776.423,19074.191,25511.377,27035.269,25443.273,24299.179,28573.680,29497.211,28896.845,27093.863
397,396,25921.474,23991.253,21909.207,19123.230,25709.777,27061.188,25626.032,24399.909,28647.414,29579.360,28867.686,27143.104
398,397,26154.130,24185.871,22154.203,19283.646,26046.380,27176.524,25923.899,24612.292,28832.240,29685.691,28972.905,27313.693
399,398,26551.234,24488.199,22521.658,19631.215,26521.285,27420.251,26324.335,24903.029,29091.663,29829.168,29181.613,27601.267
400,399,27226.445,24991.035,23189.376,20210.616,27244.120,27995.680,27001.134,25459.340,29557.834,30067.769,29610.802,28104.849
401,400,28100.358,25846.870,24187.624,21158.574,28149.396,28758.408,27748.700,26312.382,30258.941,30490.744,30184.323,28775.374
402,401,28712.325,26751.948,24959.506,22123.128,28748.494,29095.271,28033.739,26988.360,30917.778,30994.497,30695.864,29216.112
403,402,28348.920,27118.423,24632.147,22240.325,28491.956,28419.936,27307.774,26717.283,30808.738,31329.603,30645.233,28716.754
404,403,27134.983,26386.297,23161.287,20873.303,27384.507,27103.520,25965.349,25423.938,29886.450,30989.951,29769.120,27432.856
405,404,25887.599,24938.433,21628.675,18877.146,26062.020,25988.700,24908.829,23995.677,28747.380,30004.102,28540.579,26247.563
406,405,25358.398,23767.114,20968.400,17609.902,25444.923,25646.247,24574.948,23390.810,28181.942,28933.548,27721.682,25754.962
407,406,25323.282,23404.859,20833.094,17288.174,25350.075,25597.118,24571.410,23334.075,28077.388,28407.835,27432.756,25594.509
408,407,25418.703,23423.740,20888.698,17208.039,25399.992,25685.365,24718.879,23401.420,28106.715,28291.666,27394.051,25636.012
409,408,25583.343,23465.497,21059.075,17159.249,25470.195,25813.018,24882.385,23497.271,28162.490,28217.953,27317.232,25725.263
410,409,25774.437,23627.096,21319.981,17287.487,25656.401,25991.133,25103.457,23719.769,28292.751,28192.952,27340.278,25914.276
411,410,25865.087,23957.100,21420.624,17472.652,25848.601,26080.362,25263.459,23974.682,28408.124,28306.987,27461.619,26042.554
412,411,25876.427,24200.736,21261.195,17417.514,25916.301,26045.765,25323.119,24113.288,28410.816,28364.669,27458.286,26092.678
413,412,25847.155,24218.438,20951.743,17262.453,25913.039,26022.333,25246.367,24113.418,28376.000,28243.017,27314.057,26071.679
414,413,25704.102,24146.838,20523.938,16972.218,25875.828,25918.502,25054.352,23942.598,28294.588,28097.653,27129.181,25980.396
415,414,25552.661,23999.283,20135.187,16665.960,25794.516,25720.002,24742.962,23714.476,28164.655,27884.920,26840.457,25823.162
416,415,25408.311,23839.714,19861.733,16422.563,25752.349,25571.345,24513.978,23475.013,28040.263,27666.116,26588.261,25707.480
417,416,25220.523,23703.870,19629.814,16317.052,25798.312,25467.575,24300.801,23309.196,27945.716,27488.871,26430.430,25623.963
418,417,24968.786,23566.055,19345.654,16124.197,25852.116,25358.393,24127.882,23019.722,27859.057,27365.189,26285.533,25485.213
419,418,24708.915,23359.116,19036.528,15867.816,25939.382,25278.580,23951.525,22740.949,27798.005,27182.529,26139.578,25301.816
420,419,24463.580,23152.262,18761.566,15677.449,26032.361,25189.117,23805.535,22499.774,27761.168,27085.645,26109.881,25117.532
421,420,24339.792,23016.948,18554.235,15565.948,26087.681,25151.913,23753.675,22309.938,27785.440,27028.531,26112.882,25000.495
422,421,24162.866,22752.841,18254.405,15400.360,26073.315,25032.160,23654.064,22148.596,27739.640,26861.725,26046.015,24791.357
423,422,24053.020,22573.768,18008.754,15267.191,26098.161,24974.471,23671.180,22040.313,27738.362,26754.614,25959.699,24636.782
424,423,24066.560,22546.574,17938.068,15297.244,26177.991,25009.865,23771.136,22051.076,27851.727,26752.804,25979.623,24624.512
425,424,24027.342,22521.382,17832.331,15293.876,26205.999,24965.630,23815.530,21960.253,27899.810,26772.001,25930.010,24568.079
426,425,23996.135,22482.950,17646.166,15192.857,26241.933,24920.994,23849.512,21825.760,27920.532,26772.436,25836.952,24502.138
427,426,23982.540,22419.614,17480.341,15077.276,26237.075,24847.964,23801.737,21680.447,27837.159,26779.855,25743.192,24419.603
428,427,24157.995,22380.629,17579.461,15173.266,26370.680,24906.872,23906.412,21751.276,27847.853,26813.517,25773.072,24507.751
429,428,24283.305,22302.765,17560.576,15332.740,26458.433,24919.253,23959.395,21722.907,27882.244,26852.244,25819.376,24523.596
430,429,24410.889,22300.547,17492.657,15441.963,26595.626,24976.995,23970.556,21665.309,27891.230,26854.090,25845.098,24602.758
431,430,24540.352,22385.139,17518.623,15588.063,26767.020,25057.493,24016.405,21702.290,27960.459,26909.684,25913.726,24646.114
432,431,24523.245,22362.285,17421.098,15628.356,26798.615,24970.209,23914.317,21590.779,27920.807,26919.221,25888.336,24536.287
433,432,24423.490,22161.047,17153.525,15482.000,26726.136,24716.072,23749.398,21314.189,27842.991,26835.079,25769.281,24289.488
434,433,24322.149,21892.877,16912.287,15316.070,26597.147,24486.795,23638.395,21084.579,27743.878,26684.273,25610.320,24131.778
435,434,24253.468,21704.496,16772.075,15240.457,26465.903,24274.867,23499.554,20948.263,27663.421,26533.927,25515.020,24006.919
436,435,24190.777,21570.200,16483.938,15148.260,26406.530,24065.978,23239.403,20737.324,27623.289,26492.048,25440.068,23853.943
437,436,24108.173,21318.962,16148.614,14952.770,26327.256,23900.159,23044.883,20450.449,27564.319,26413.144,25320.620,23684.761
438,437,24017.912,21091.505,16032.480,14820.568,26261.184,23783.463,22902.172,20258.950,27553.423,26281.547,25207.014,23522.255
439,438,23933.641,20923.286,15924.203,14711.617,26218.104,23747.881,22826.705,20103.959,27531.861,26206.456,25132.114,23396.129
440,439,23896.765,20757.149,15930.193,14699.479,26267.267,23759.617,22823.398,20062.567,27500.276,26127.316,25078.684,23369.192
441,440,23884.443,20705.406,15992.121,14794.962,26336.477,23755.386,22796.245,20046.711,27501.317,26146.738,25086.126,23350.184
442,441,23811.828,20613.795,15938.983,14835.519,26344.089,23579.541,22604.146,19923.485,27504.985,26158.363,24997.296,23224.704
443,442,23671.406,20360.764,15642.999,14641.505,26293.988,23305.294,22370.958,19650.456,27405.682,26078.594,24789.966,22957.757
444,443,23633.453,20109.019,15577.044,14580.930,26329.743,23201.968,22252.612,19494.717,27393.352,25941.593,24611.665,22807.550
445,444,23602.016,19977.946,15666.822,14669.723,26302.022,23070.132,22110.609,19450.620,27366.423,25826.058,24493.353,22678.533
446,445,23476.019,19816.158,15635.989,14685.025,26230.173,22937.842,21881.672,19217.562,27300.639,25766.062,24349.781,22452.889
447,446,23357.187,19572.542,15517.721,14613.666,26167.118,22875.679,21666.209,18997.185,27266.053,25664.687,24204.561,22276.766
448,447,23297.719,19408.548,15494.764,14614.947,26161.738,22860.785,21532.378,18854.917,27319.743,25593.524,24093.008,22122.049
449,448,23276.237,19294.880,15564.767,14664.438,26196.085,22923.544,21467.405,18785.551,27378.590,25591.222,23985.086,22037.666
450,449,23268.995,19230.602,15718.971,14814.314,26260.556,23001.890,21403.419,18755.590,27442.384,25603.320,23880.690,21981.649
451,450,23207.789,19165.897,15795.689,14965.948,26291.294,22994.562,21267.255,18669.878,27432.975,25670.872,23785.886,21844.450
452,451,23118.286,19046.681,15874.597,15091.668,26326.099,23023.382,21149.559,18635.286,27368.880,25674.939,23673.796,21719.842
453,452,22957.898,18992.245,15933.576,15246.016,26341.353,23016.294,20920.361,18502.622,27332.675,25685.391,23578.677,21466.558
454,453,22593.846,18675.909,15698.586,15130.307,26205.794,22806.401,20594.069,18127.566,27204.626,25583.476,23257.584,20981.876
455,454,22307.154,18305.683,15519.006,14922.541,26078.109,22607.365,20336.464,17844.878,27045.957,25406.161,22930.062,20680.495
456,455,22136.584,18093.902,15424.503,14797.471,25980.186,22473.108,20185.345,17716.402,26943.391,25282.462,22730.792,20466.935
457,456,21955.676,17928.640,15429.159,14767.387,25876.920,22356.090,20055.554,17691.751,26795.987,25184.893,22598.913,20318.035
458,457,21599.241,17810.068,15194.819,14656.773,25630.882,22067.483,19700.231,17412.863,26535.750,25042.612,22399.053,19966.220
459,458,21303.864,17514.708,14963.896,14360.451,25410.918,21875.225,19414.331,17141.679,26288.003,24838.059,22045.315,19634.192
460,459,21066.760,17202.958,14846.911,14223.060,25273.624,21727.687,19125.740,16942.608,26109.785,24585.479,21742.339,19327.713
461,460,20895.400,16881.890,14767.153,14112.607,25168.707,21658.961,18938.387,16754.175,26009.020,24367.649,21431.375,19145.917
462,461,20894.932,16723.765,14832.040,14149.119,25178.465,21699.162,18885.263,16771.345,25997.691,24200.336,21282.804,19082.808
463,462,20978.485,16782.079,14999.721,14343.728,25211.447,21786.178,18962.624,16846.060,26064.999,24148.097,21242.210,19125.547
464,463,21187.287,16939.731,15317.748,14691.700,25319.199,21927.659,19052.663,17138.747,26201.822,24205.465,21361.298,19251.253
465,464,21204.893,17168.047,15457.549,14885.002,25363.094,22018.254,18950.357,17168.559,26223.148,24278.415,21351.845,19126.551
466,465,21064.230,17113.388,15423.431,14923.863,25304.689,21979.875,18777.516,17031.349,26127.678,24170.126,21099.057,18960.954
467,466,21031.021,17029.246,15551.345,15030.894,25326.559,22020.276,18785.525,17032.470,26148.566,23953.852,20848.910,18932.591
468,467,21122.014,17141.058,15836.393,15292.192,25423.285,22093.553,18869.492,17195.453,26236.201,23865.302,20760.902,18991.612
469,468,21132.524,17332.396,16061.534,15561.118,25443.346,22142.832,18920.215,17362.947,26226.978,23882.651,20767.829,19030.359
470,469,21100.598,17436.796,16177.881,15693.439,25379.222,22206.535,19004.479,17442.745,26215.598,23769.929,20700.422,19069.869
471,470,21143.741,17489.517,16375.517,15849.853,25339.192,22183.325,19051.372,17615.398,26230.805,23676.802,20704.139,19142.199
472,471,21019.510,17649.418,16341.126,15914.353,25183.032,21890.791,18868.566,17590.856,26137.152,23727.501,20696.044,18956.136
473,472,20772.129,17501.033,16187.444,15762.828,24908.058,21576.622,18646.713,17411.822,25941.676,23591.843,20374.215,18707.459
474,473,20546.085,17317.878,16082.709,15633.243,24671.949,21283.418,18426.920,17287.770,25740.212,23286.729,20038.619,18507.680
475,474,20455.964,17258.856,16112.788,15611.590,24601.408,21179.246,18443.512,17278.915,25632.854,23018.684,19814.468,18459.440
476,475,20504.359,17353.544,16268.631,15732.545,24643.458,21200.003,18599.423,17412.868,25678.931,22892.804,19831.294,18596.799
477,476,20584.277,17440.452,16472.644,15894.974,24680.960,21223.606,18719.051,17546.956,25720.167,22864.433,19947.373,18757.162
478,477,20611.084,17582.134,16579.250,16029.159,24630.860,21162.446,18753.589,17622.705,25674.969,22870.682,20019.955,18787.473
479,478,20511.840,17684.466,16644.543,16082.761,24509.667,21005.451,18705.284,17634.635,25560.057,22801.792,19934.403,18789.284
480,479,20414.414,17665.865,16631.426,16120.668,24407.721,20912.579,18780.857,17650.583,25450.112,22663.327,19830.830,18821.171
481,480,20615.741,17772.384,17012.786,16334.568,24535.818,21169.057,19160.691,17992.091,25508.445,22516.005,19947.209,19194.358
482,481,20881.859,18121.187,17437.423,16760.180,24718.018,21415.772,19482.241,18412.552,25681.400,22667.731,20283.668,19564.637
483,482,21061.669,18461.006,17793.026,17125.199,24849.403,21592.632,19803.653,18723.151,25807.542,22889.225,20528.788,19896.738
484,483,21568.757,18861.949,18474.517,17669.361,25193.401,22152.158,20569.308,19356.709,26173.410,23020.298,20876.497,20617.483
485,484,22176.749,19637.844,19328.769,18564.460,25619.104,22703.458,21222.306,20181.764,26624.229,23357.121,21559.635,21302.651
486,485,22593.043,20354.633,19907.073,19281.954,25956.322,23062.607,21633.978,20703.828,26948.470,23820.231,22070.096,21756.358
487,486,22889.771,20838.217,20296.612,19703.678,26191.050,23320.588,21900.521,21064.134,27157.163,24179.701,22491.570,22040.979
488,487,22996.881,21136.216,20443.998,19942.197,26253.978,23396.625,22002.834,21229.469,27168.553,24471.780,22707.531,22123.510
489,488,23077.812,21260.105,20566.101,20041.326,26227.036,23468.629,22173.474,21346.697,27117.193,24580.919,22800.397,22300.007
490,489,23250.719,21331.798,20794.360,20178.045,26197.596,23590.201,22433.996,21548.975,27106.434,24531.960,22912.037,22534.891
491,490,23527.582,21616.891,21135.571,20519.002,26233.688,23816.490,22729.537,21898.835,27218.310,24633.278,23172.268,22830.882
492,491,23902.042,22006.196,21596.157,20995.106,26472.922,24173.894,23087.982,22329.933,27465.287,24838.930,23516.109,23217.780
493,492,24114.873,22395.489,21894.344,21369.587,26624.788,24356.446,23281.070,22646.495,27603.476,25096.185,23821.801,23447.208
494,493,24145.336,22637.721,22017.699,21493.381,26603.404,24380.015,23358.593,22757.979,27573.525,25272.499,23924.367,23578.677
495,494,24281.372,22705.350,22165.664,21584.285,26624.673,24532.834,23553.115,22916.488,27540.699,25271.160,23965.902,23750.341
496,495,24657.121,22977.285,22552.670,21923.875,26900.745,24902.776,23955.495,23293.768,27734.509,25354.550,24252.687,24115.005
497,496,25079.352,23402.476,23016.428,22389.345,27218.567,25282.292,24362.440,23745.150,27944.461,25703.640,24662.313,24547.261
498,497,25348.368,23782.750,23338.005,22723.930,27356.994,25551.411,24693.896,24081.459,28018.442,26009.738,24980.705,24865.499
499,498,25654.428,24164.929,23722.966,23124.183,27619.397,25841.830,25036.150,24508.814,28169.263,26295.475,25318.519,25215.853
500,499,25818.217,24502.309,23982.056,23402.313,27679.583,25941.305,25222.016,24733.741,28279.969,26547.731,25581.307,25426.566
501,500,25913.975,24704.598,24152.951,23575.368,27702.461,26040.582,25363.812,24947.897,28281.472,26684.505,25711.515,25582.444
502,501,26165.445,24882.678,24457.076,23820.658,27940.281,26289.431,25694.761,25220.003,28440.001,26780.847,25887.981,25889.692
503,502,26550.165,25225.765,24914.423,24322.399,28285.406,26702.107,26172.972,25637.704,28709.237,26973.935,26198.046,26294.208
504,503,27000.735,25742.615,25496.367,24887.284,28642.098,27163.790,26725.045,26187.530,28997.275,27317.911,26668.062,26783.638
505,504,27541.813,26313.150,26193.544,25564.276,29003.166,27711.590,27381.400,26834.315,29336.692,27717.057,27196.129,27412.553
506,505,28178.291,26943.740,26972.443,26330.160,29506.517,28367.134,28118.491,27551.361,29795.579,28101.287,27810.752,28155.662
507,506,28967.257,27729.678,27848.631,27210.002,30188.149,29198.037,29060.158,28389.541,30377.367,28656.973,28544.410,29013.995
508,507,30018.102,28716.394,29015.877,28335.056,31073.128,30285.516,30234.487,29469.270,31217.483,29394.774,29527.075,30123.914
509,508,31299.820,29862.155,30353.812,29638.412,32194.203,31638.118,31686.640,30744.194,32246.113,30386.331,30656.202,31448.940
510,509,32666.789,31263.122,31847.868,31181.807,33443.148,32975.270,32967.388,32159.552,33414.656,31589.044,32070.491,32764.316
511,510,33488.054,32717.048,32920.065,32508.798,34268.727,33609.026,33397.736,33080.307,34243.107,32988.876,33251.174,33390.899
512,511,32940.638,33361.000,32752.764,32820.348,33777.194,32773.826,32200.589,32785.600,33883.814,33853.303,33468.318,32622.955
513,512,30308.468,32382.444,30585.122,31312.679,31200.769,29741.708,28835.839,30546.027,31528.132,33389.305,31904.452,29771.727
514,513,25779.069,29246.318,26347.466,27639.042,26509.829,24918.541,23908.559,26272.055,27084.667,30802.825,28165.044,25166.420
515,514,20687.077,24436.802,21318.681,22733.161,21206.189,19813.261,18950.383,21301.164,21867.129,26202.662,23203.593,20217.610
516,515,16313.681,19396.542,16722.687,17904.386,16535.057,15613.352,15054.447,16784.643,17162.131,21044.299,18345.127,16094.348
517,516,13543.041,15281.817,13592.454,14297.697,13476.897,13123.655,12888.650,13779.510,14026.334,16491.963,14712.676,13514.118
518,517,12266.141,12874.731,12050.649,12267.545,12149.062,12057.591,11924.587,12299.767,12554.154,13600.250,12794.125,12343.231
519,518,11788.472,11897.592,11421.043,11464.486,11744.913,11678.995,11597.354,11710.358,12077.383,12374.151,12069.287,11926.629
520,519,11602.740,11479.214,11111.717,11091.764,11562.952,11561.368,11496.170,11463.289,11891.776,11907.183,11763.302,11707.354
521,520,11647.718,11332.574,11055.471,10903.711,11654.187,11629.634,11561.370,11387.692,11909.407,11780.918,11711.660,11694.636
522,521,11839.719,11424.280,11193.108,10930.435,11916.464,11875.545,11755.909,11552.463,12108.305,11813.613,11845.064,11897.702
523,522,12110.790,11595.495,11396.474,11095.860,12182.341,12181.660,12013.815,11779.060,12352.463,12063.904,12078.344,12165.731
524,523,12442.202,11873.920,11685.173,11325.065,12528.360,12513.949,12364.765,12080.545,12697.269,12369.786,12398.644,12481.987
